radar_no,Total_Failure_Umum,Total_Error_Encoder,Total_Error_Netburner,Cluster_ID
ssr179,7,5.0,2.0,0
ssr223,4,4.0,0.0,0
ssr242,1,0.0,1.0,0
ssr252,2,2.0,0.0,0
ssr304,9,9.0,0.0,0
ssr313,2,1.0,1.0,0
ssr325,10,6.0,4.0,0
ssr327,4,4.0,0.0,0
ssr331,4,3.0,1.0,0
ssr334,4,1.0,3.0,0
ssr339,2,2.0,0.0,0
ssr340,13,6.0,7.0,0
ssr360,1,1.0,0.0,0
ssr365,28,16.0,12.0,1
ssr376,1,1.0,0.0,0
ssr386,26,8.0,18.0,2
ssr390,28,0.0,28.0,2
ssr393,26,14.0,12.0,1
ssr458,23,2.0,21.0,2
ssr470,21,18.0,4.0,1
ssr478,3,1.0,2.0,0
ssr479,2,1.0,1.0,0
ssr492,2,1.0,1.0,0
ssr494,4,2.0,2.0,0
ssr496,6,5.0,1.0,0
ssr504,2,2.0,0.0,0
ssr508,24,0.0,25.0,2
ssr511,20,3.0,17.0,2
ssr516,6,6.0,0.0,0
ssr530,1,2.0,0.0,0
ssr547,7,6.0,1.0,0
ssr549,2,1.0,1.0,0
ssr551,2,1.0,1.0,0
ssr552,5,2.0,3.0,0
ssr557,18,8.0,10.0,1
ssr582,1,0.0,1.0,0
ssr589,15,1.0,14.0,2
ssr601,12,2.0,10.0,0
ssr605,25,26.0,0.0,1
ssr608,2,1.0,1.0,0
ssr612,4,0.0,4.0,0
ssr626,4,4.0,0.0,0
ssr628,8,1.0,8.0,0
ssr634,2,2.0,0.0,0
ssr635,25,2.0,25.0,2
ssr637,1,0.0,1.0,0
ssr644,22,2.0,22.0,2
ssr645,17,3.0,16.0,2
ssr650,23,2.0,21.0,2
ssr651,6,3.0,3.0,0
ssr668,2,1.0,1.0,0
ssr671,9,2.0,8.0,0
ssr677,2,1.0,1.0,0
ssr678,1,1.0,0.0,0
ssr687,1,1.0,0.0,0
ssr688,4,4.0,0.0,0
ssr689,24,4.0,21.0,2
ssr693,1,0.0,1.0,0
ssr697,20,5.0,15.0,2
ssr706,5,1.0,4.0,0
ssr715,8,8.0,0.0,0
ssr717,19,1.0,18.0,2
ssr718,1,0.0,1.0,0
ssr743,1,1.0,0.0,0
ssr745,1,1.0,0.0,0
ssr749,12,7.0,5.0,0
ssr754,19,18.0,1.0,1
ssr759,3,3.0,0.0,0
ssr769,12,11.0,1.0,1
ssr782,1,0.0,1.0,0
ssr783,3,1.0,2.0,0
ssr788,12,2.0,10.0,0
ssr789,3,3.0,0.0,0
ssr794,3,3.0,0.0,0
ssr795,4,4.0,0.0,0
ssr798,5,3.0,2.0,0
ssr800,2,1.0,1.0,0
ssr801,8,8.0,0.0,0
ssr820,2,1.0,1.0,0
ssr823,1,1.0,0.0,0
ssr833,2,2.0,0.0,0
ssr834,2,1.0,1.0,0
ssr837,7,1.0,6.0,0
ssr839,7,6.0,0.0,0
ssr849,1,1.0,0.0,0
ssr858,5,4.0,1.0,0
ssr861,12,8.0,5.0,0
ssr863,4,4.0,0.0,0
ssr864,3,3.0,0.0,0
ssr865,1,0.0,1.0,0
ssr867,6,6.0,0.0,0
ssr870,8,8.0,0.0,0
ssr871,9,7.0,1.0,0
ssr872,1,1.0,0.0,0
ssr873,1,0.0,1.0,0
ssr881,5,4.0,1.0,0
ssr884,20,11.0,9.0,1
ssr891,8,4.0,4.0,0
ssr900,1,0.0,1.0,0
ssr910,6,3.0,3.0,0
ssr917,15,15.0,0.0,1
ssr918,1,1.0,0.0,0
ssr922,14,8.0,10.0,1
ssr924,2,2.0,0.0,0
ssr934,7,7.0,0.0,0
ssr946,1,1.0,0.0,0
ssr953,4,5.0,2.0,0
ssr956,3,2.0,1.0,0
ssr959,10,15.0,0.0,1
ssr960,1,1.0,0.0,0
ssr972,10,13.0,3.0,1
ssr973,1,0.0,1.0,0
ssr974,8,10.0,1.0,0
ssr976,29,20.0,25.0,1
